"","Source","Target","freq"
"1","Lyon","Aalborg",3
"2","Lyon","Aarhus",2
"3","Lyon","Agen",1
"4","Lyon","Amiens",11
"5","Lyon","Amsterdam",13
"6","Lyon","Ancona",5
"7","Lyon","Angers",1
"8","Lyon","Angouleme",4
"9","Lyon","Annecy",8
"10","Lyon","Anvers",4
"11","Lyon","Athens",1
"12","Lyon","Augsburg",5
"13","Lyon","Auxerre",5
"14","Lyon","Avignon",5
"15","Lyon","Baden-Baden",3
"16","Lyon","Bad Kreuznach",5
"17","Lyon","Bale",86
"18","Lyon","Barcelone",21
"19","Lyon","Bari",3
"20","Lyon","Beauvais",1
"21","Lyon","Belfast",2
"22","Lyon","Bergen",1
"23","Lyon","Berlin",18
"24","Lyon","Berne",21
"25","Lyon","Besancon",18
"26","Lyon","Bilbao",4
"27","Lyon","Birmingham",21
"28","Lyon","Blackpool",2
"29","Lyon","Bologna",24
"30","Lyon","Bordeaux",5
"31","Lyon","Bourges",2
"32","Lyon","Bournemouth",1
"33","Lyon","Braunschweig",12
"34","Lyon","Bregenz",3
"35","Lyon","Bremen",5
"36","Lyon","Brest",1
"37","Lyon","Brighton",3
"38","Lyon","Bristol",1
"39","Lyon","Brive-la-Gaillarde",1
"40","Lyon","Bruxelles",25
"41","Lyon","Caen",10
"42","Lyon","Calais",4
"43","Lyon","Camborne-Redruth",1
"44","Lyon","Cambridge",7
"45","Lyon","Carcassonne",3
"46","Lyon","Cardiff",4
"47","Lyon","Catania",1
"48","Lyon","Chalon-sur-Saone",4
"49","Lyon","Chambery",3
"50","Lyon","Charleroi",1
"51","Lyon","Cherbourg",2
"52","Lyon","Clermont-Ferrand",2
"53","Lyon","Cognac",16
"54","Lyon","Cologne",102
"55","Lyon","Copenhague",8
"56","Lyon","Courtrai",20
"57","Lyon","Cuneo",1
"58","Lyon","Den Haag",17
"59","Lyon","Dijon",46
"60","Lyon","Dortmund",22
"61","Lyon","Dresden",11
"62","Lyon","Dublin",2
"63","Lyon","Dusseldorf",45
"64","Lyon","Edinburgh",3
"65","Lyon","Eindhoven",46
"66","Lyon","Emden",2
"67","Lyon","Enschede",9
"68","Lyon","Epinal",2
"69","Lyon","Erfurt",6
"70","Lyon","Esbjerg",1
"71","Lyon","Essen",15
"72","Lyon","Exeter",1
"73","Lyon","Falun",1
"74","Lyon","Firenze",5
"75","Lyon","Forli",2
"76","Lyon","Frankfurt",154
"77","Lyon","Freiburg",13
"78","Lyon","Friedrichshafen",8
"79","Lyon","Gand",3
"80","Lyon","Gavle-Sandviken",1
"81","Lyon","Geneve",41
"82","Lyon","Genova",2
"83","Lyon","Gloucester",8
"84","Lyon","Goteborg",11
"85","Lyon","Graz",10
"86","Lyon","Grenoble",34
"87","Lyon","Groningen",4
"88","Lyon","Halmstad",2
"89","Lyon","Hamburg",25
"90","Lyon","Hannover",13
"91","Lyon","Helsinki",6
"92","Lyon","Hof",6
"93","Lyon","Hull",3
"94","Lyon","Ingolstadt",10
"95","Lyon","Innsbruck",3
"96","Lyon","Jerez de la Frontera",1
"97","Lyon","Jonkoping",2
"98","Lyon","Karlsruhe",12
"99","Lyon","Karlstad",2
"100","Lyon","Kassel",6
"101","Lyon","Kiel",2
"102","Lyon","Klagenfurt",4
"103","Lyon","La Rochelle",8
"104","Lyon","Leeds",15
"105","Lyon","Leicester-Nottingham",5
"106","Lyon","Leipzig",1
"107","Lyon","Le Mans",2
"108","Lyon","Liege",10
"109","Lyon","Lille",22
"110","Lyon","Limerick",1
"111","Lyon","Limoges",1
"112","Lyon","Linkoping",1
"113","Lyon","Linz",14
"114","Lyon","Lisboa",1
"115","Lyon","Liverpool",4
"116","Lyon","Ljubljana",2
"117","Lyon","London",167
"118","Lyon","Lorient",1
"119","Lyon","Lubeck",5
"120","Lyon","Lugano",6
"121","Lyon","Luxembourg",2
"122","Lyon","Lyon",926
"123","Lyon","Maastricht",3
"124","Lyon","Madrid",1
"125","Lyon","Maidstone",8
"126","Lyon","Malmo",8
"127","Lyon","Manchester",7
"128","Lyon","Mannheim",57
"129","Lyon","Marseille",4
"130","Lyon","Memmingen",26
"131","Lyon","Metz-Nancy",7
"132","Lyon","Milano",68
"133","Lyon","Montbeliard",1
"134","Lyon","Montlucon",4
"135","Lyon","Montpellier",3
"136","Lyon","Munchen",77
"137","Lyon","Munster",6
"138","Lyon","Nantes",5
"139","Lyon","Napoli",1
"140","Lyon","Nevers",5
"141","Lyon","Newcastle",1
"142","Lyon","Nice",10
"143","Lyon","Nimes",1
"144","Lyon","Niort",2
"145","Lyon","Nurnberg",20
"146","Lyon","Orleans",8
"147","Lyon","Oslo",3
"148","Lyon","Ostende-Bruges",3
"149","Lyon","Oxford",4
"150","Lyon","Paderborn",16
"151","Lyon","Palermo",3
"152","Lyon","Palma de Mallorca",1
"153","Lyon","Pamplona",9
"154","Lyon","Paris",415
"155","Lyon","Parma",5
"156","Lyon","Perpignan",1
"157","Lyon","Perugia",1
"158","Lyon","Pescara",4
"159","Lyon","Pisa",1
"160","Lyon","Poitiers",3
"161","Lyon","Pori",1
"162","Lyon","Porto",5
"163","Lyon","Praha",1
"164","Lyon","Reggio di Calabria",1
"165","Lyon","Reims",5
"166","Lyon","Rennes",3
"167","Lyon","Roma",10
"168","Lyon","Rotterdam",26
"169","Lyon","Rouen",1
"170","Lyon","Rzeszow",1
"171","Lyon","Saarbrucken",2
"172","Lyon","Saint-Etienne",23
"173","Lyon","Saint-Gall",7
"174","Lyon","Saint-Moritz",5
"175","Lyon","Salzburg",6
"176","Lyon","San Sebastian",5
"177","Lyon","Siegen",16
"178","Lyon","Siena",1
"179","Lyon","Sion",3
"180","Lyon","Southampton",16
"181","Lyon","Stockholm",22
"182","Lyon","Strasbourg",14
"183","Lyon","Stuttgart",87
"184","Lyon","Swindon",4
"185","Lyon","Tampere",1
"186","Lyon","Torino",33
"187","Lyon","Toulon",2
"188","Lyon","Toulouse",10
"189","Lyon","Tours",6
"190","Lyon","Trieste",1
"191","Lyon","Troyes",3
"192","Lyon","Turku",1
"193","Lyon","Udine",2
"194","Lyon","Utrecht",21
"195","Lyon","Valence",26
"196","Lyon","Valencia",2
"197","Lyon","Vaxjo",1
"198","Lyon","Venezia",27
"199","Lyon","Verona",6
"200","Lyon","Vicenza",12
"201","Lyon","Vigo",1
"202","Lyon","Vitoria-Gasteiz",5
"203","Lyon","Wien",21
"204","Lyon","Zurich",76
"205","Lyon","Zweibrucken",4
"206","Lyon","Zwolle",4
